Keyword to Disc,Agric and BioSci,Arts and Humanities,Biochem and Molecular Bio,Business,Chemical engineering,Chemistry,Computer Science,Decision Sciences,Earth and Planetary Sci,Econonics,Energy,Engineering,Environmental Sci,Health Professions,Immunology and Microbio,Materials Science,Mathematics,Medicine,Multidisciplinary,Multidisciplinary,Neuroscience,Nursing,Pharmacology,Physics and Astronomy,Psychology,Social Sciences
3-D visualization,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1
3D geological model,0,0,0,0,0,0,5,0,4,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3D geological modeling,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3D geological modelling,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D modeling,0,5,1,2,4,4,7,2,1,0,7,6,0,0,1,6,2,1,4,4,0,1,0,1,0,3
3D modelling,2,8,2,3,2,2,3,2,5,0,3,2,0,0,4,4,1,0,1,1,0,0,1,2,0,2
3D visualisation,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
3D visualization,0,1,1,3,1,1,5,3,1,0,1,2,1,2,0,1,0,1,2,2,0,1,0,1,0,1
3D-visualization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cluster visualisation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster visualization,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Clustering visualization,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cognitive map,8,1,1,85,0,0,36,67,0,25,7,11,3,2,1,0,26,0,10,10,2,1,0,1,4,8
Cognitive mapping,4,0,0,49,0,0,3,25,0,12,2,1,1,0,0,0,4,0,1,1,0,0,0,0,0,3
cognitive maps,1,0,0,23,0,0,24,24,0,3,4,9,2,0,0,0,17,0,4,4,0,0,0,1,4,3
Data visualisation,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Data visualization,1,2,3,8,4,4,16,29,1,6,3,6,0,0,1,1,18,2,5,5,0,2,2,1,0,2
