,dsocial science,663
,dengineering,1055
,dmedicine,1363
,d-lifescience,357
Search image,dmedicine,2
design details,dmedicine,1
Experimental neuroethics,dengineering,1
Monoamine,dsocial science,1
factorial invariance,dsocial science,1
and individual variability (1984) Vision Res,dsocial science,1
semi-supervised learning,dengineering,1
Cognitive stability,dengineering,1
Numerical serial positions,dmedicine,1
Western,dengineering,1
Social cognitive neuroscience,dsocial science,1
Social cognitive neuroscience,dengineering,1
Social cognitive neuroscience,dmedicine,1
Social cognitive neuroscience,d-lifescience,1
Rs16965628,dsocial science,1
pretuning,dmedicine,1
Memory and attention impairment,dsocial science,1
Cognition in sports,dengineering,1
driving ability,dengineering,1
Visual motion processing,dengineering,1
Prepsychosis,dsocial science,1
Minority groups,dsocial science,1
Visual-event coding,dmedicine,1
Social communication,d-lifescience,2
Internal attention,dsocial science,1
Multi-digit number processing,dengineering,1
Hypoglycaemia awareness,dsocial science,1
feasibility,dmedicine,1
emergency shelter,dmedicine,1
Amyloid imaging,dmedicine,2
errors,dsocial science,1
Cross-modal conversion,dmedicine,1
Neurological impairment,dmedicine,1
Audiovisual crossmodal integration,dmedicine,1
Cognitive-control,d-lifescience,1
GABAergic inhibition,dengineering,1
GABAergic inhibition,dmedicine,1
Positron emission tomography (PET),dengineering,1
Extrahepatic manifestations,,1
Uncertainty,dsocial science,1
Uncertainty,dengineering,2
Uncertainty,dmedicine,4
Degenerative dementia,dmedicine,1
distributed attention,dengineering,1
Landmark use,dmedicine,1
Cerebral perfusion,dsocial science,1
Cerebral perfusion,dmedicine,1
Oscillopsia,dengineering,1
Motor sequence,dengineering,1
Older driver,dmedicine,2
Fractal dimension,dmedicine,1
Nogo-anteriorisation (NGA),dsocial science,1
Social structure,dsocial science,1
Social structure,dmedicine,1
topography,d-lifescience,1
Chicago Electrical NeuroImaging Analytics (CENA),d-lifescience,1
Feature overlap,dengineering,2
Visual preference,dsocial science,1
Visual preference,dengineering,1
Visual preference,dmedicine,1
White noise,d-lifescience,1
Social threat,d-lifescience,1
music,dmedicine,2
Multimedia learning,dsocial science,1
Diabetes,dsocial science,1
Diabetes,dengineering,2
Diabetes,dmedicine,1
Pedophilia,dengineering,1
Pedophilia,dmedicine,3
Psychomotricity,dmedicine,1
egocentric bias,dmedicine,1
Rural area,dmedicine,1
TDCS,dsocial science,2
TDCS,dengineering,1
TDCS,dmedicine,5
facial emotion,dengineering,1
Young females,dsocial science,1
Long-acting antichilinergics (LAMA),dengineering,1
Visual completion,dengineering,1
Perimenopause,dsocial science,1
Map generalization,dmedicine,1
Spatial audition,dsocial science,1
Dorsal stream vulnerability,dengineering,2
Dorsal stream vulnerability,dmedicine,1
bipolar II disorder,dmedicine,1
Word identification,dsocial science,2
Word identification,d-lifescience,1
affective images,dengineering,1
Agent-based modeling,dmedicine,1
Behavioral strategy,dsocial science,1
Objective Threshold/Strategic Model,dmedicine,1
Pomaglumetad methionil,dmedicine,1
Chiari malformation etiology,dsocial science,1
Robotic soccer,d-lifescience,1
Expert along training,dengineering,1
Attention,dsocial science,120
Attention,dengineering,202
Attention,dmedicine,291
Attention,d-lifescience,78
Autotopagnosia,dsocial science,1
Attentional set shifting,dmedicine,1
Electromyography (EMG),dengineering,1
Electromyography (EMG),dmedicine,1
Sensory-gating,d-lifescience,1
Stochasticity,dsocial science,1
cadence,dengineering,1
inert gas narcosis,dsocial science,1
Nonverbal,dsocial science,2
Nonverbal,dmedicine,1
Mid-level vision,dsocial science,1
Go-NoGo,dengineering,1
Go-NoGo,dmedicine,1
L2,dengineering,1
Encephalitis,dsocial science,1
Encephalitis,dengineering,1
Encephalitis,dmedicine,3
Müller-Lyer deception,d-lifescience,1
Biased-competition,dengineering,1
Language generation,dengineering,1
Language generation,dmedicine,1
Functional response,dengineering,1
Texture density,dsocial science,1
CFS,dmedicine,1
Retention,dsocial science,1
Retention,dengineering,2
Retention,dmedicine,1
Color scale,dmedicine,1
Type I and II deletions,dengineering,1
spatial recall biases,dmedicine,1
Verbal code,dengineering,1
Blood oxygenation level-dependent response,dengineering,1
"Aged,,1
Problem-solving,dsocial science,2
Problem-solving,dengineering,1
neuromotor speech disorders,dsocial science,1
Language deficit,dmedicine,1
Health behavior,dmedicine,1
Health behavior,d-lifescience,1
Sexual maturation,dsocial science,1
folate,dengineering,1
Functional mapping,dmedicine,1
comparative study,dengineering,1
memory disorders,dmedicine,2
memory disorders,d-lifescience,1
Event-related,dsocial science,1
Event-related,dengineering,3
Event-related,dmedicine,1
Event-related,d-lifescience,1
Blast-related injury,dengineering,1
Insulin resistance,dmedicine,1
RCBF,dengineering,1
RCBF,dmedicine,1
Argentina)",,1
