Old Title,Abstract ,,,,,,,,,,,,Title
Psychology of Sport and Exercise,Auditory space; Blind; Blind football; Spatial cognition; Spatial concepts,,,,,,,,,,,,dmedicine
Clinical Neurology and Neurosurgery,4-Aminopyridine; Arm/hand function; Cognitive function; Depression; Fampridine; Mood; Multiple sclerosis; Quality of life,,,,,,,,,,,,dmedicine
Journal of Affective Disorders,Anorexia Nervosa; Attentional probe; Cognitive Bias Modification; Faces; Interpretation,,,,,,,,,,,,dmedicine
Human Movement Science,Aging; Attention; Dual-task; Postural control; Visual feedback,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Attention; Attentional blink; Focused attention meditation (FAM); Meditation state; Open monitoring meditation (OMM),,,,,,,,,,,,dengineering
Consciousness and Cognition,Body representation; Deafference; Embodiment; Mirror box; Multisensory integration; Ownership,,,,,,,,,,,,dengineering
AI and Society,Design; Illusion; Probes; Shikake anatomy; Shikake principle; Theoretical framework,,,,,,,,,,,,dengineering
Journal of Affective Disorders,Bipolar disorder; Neurocognition; Sleep disruption; Sleep quality,,,,,,,,,,,,dsocial science
Behavioural Brain Research,Emotion recognition; Empathy; Executive functions; Medial prefrontal cortex; Mild cognitive impairment; Voxel-based morphometry,,,,,,,,,,,,dsocial science
Consciousness and Cognition,Attention; Oddball detection task; Skilled music training; Sustained attention; Temporal discrimination; Visual discrimination,,,,,,,,,,,,d-lifescience
Consciousness and Cognition,Attention; Bodily threat; Experimental pain; Multisensory integration; Temporal Order Judgment,,,,,,,,,,,,dmedicine
Behavioural Brain Research,Air traffic control; Attentional resources; ERP; Human machine interface evaluation; Neuroergonomics,,,,,,,,,,,,dmedicine
Physiology and Behavior,Heart rate; Motion sickness; Nausea; Reaction time; Skin temperature,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Metacognitive sensitivity; Right anterior insula; Visuomotor performance,,,,,,,,,,,,dmedicine
Brain and Language,FMRI; Lexical decision; Pars opercularis; Pars triangularis; Phonological assembly; Phonological memory; Precentral gyrus; Reading; Supramarginal gyrus,,,,,,,,,,,,dengineering
Infant Behavior and Development,Adult; Feature; Infant; Location; Ostensive-communicative demonstration,,,,,,,,,,,,dengineering
Consciousness and Cognition,Awareness; Consciousness; Dichotomous; Gradual; Levels of processing; Vision,,,,,,,,,,,,dengineering
Infant Behavior and Development,Action effects; Cognitive motivation; Gestures; Imitation; Imitation ability; Object-related actions; Social motivation,,,,,,,,,,,,dsocial science
Supportive Care in Cancer,Cognition function; Cognitive impairment; Neuropsychological testing; Quality of life; Testicular cancer,,,,,,,,,,,,dsocial science
Neuroscience,Aerobic exercise; Attention; Cognition; EEG; ERP; Physical activity,,,,,,,,,,,,d-lifescience
Cognitive Computation,Independent component analysis; Motion cognition; Moving objects detection; Optical flow; Principal component analysis,,,,,,,,,,,,dmedicine
Neuropsychopharmacology,,,,,,,,,,,,,dmedicine
NeuroImage,Face processing; FMRI; Implicit emotion processing; Implicit timing; Interstimulus interval; Unpredictability,,,,,,,,,,,,dmedicine
Vision Research,Figure-ground segregation; Intelligence; Motion segregation; Spatial suppression; Surround suppression; Visual motion,,,,,,,,,,,,dmedicine
Cognition,Artificial grammar learning; Language evolution; Local/global processing; Maximum likelihood; Model selection; Species differences,,,,,,,,,,,,dengineering
Neuropsychologia,Comics; Discourse; Event-related potentials; Inference; Narrative; Visual language; Visual Narrative Grammar,,,,,,,,,,,,dengineering
Research in Developmental Disabilities,Information processing; Selective attention; Specific Language Impairment; Visual ability,,,,,,,,,,,,dengineering
Acta Psychologica,Embodied cognition; Memory processes; Perception of size; Perception processes; Psychophysics; Visual illusion,,,,,,,,,,,,dsocial science
Cortex,Imitation inhibition; Mentalizing; Mirror-touch synaesthesia; Perspective taking; Self-other; Social cognition; Synaesthesia,,,,,,,,,,,,dsocial science
Behavioural Brain Research,Adolescent; Development; ERO; P3,,,,,,,,,,,,d-lifescience
Neurobiology of Disease,BDNF; Down syndrome; Environmental enrichment; GABA; Hippocampal plasticity; Maternal care; Ts65Dn mice; Visual system,,,,,,,,,,,,dmedicine
Research in Developmental Disabilities,Arithmetic; Cerebral palsy; Early numeracy; Fine motor skills; Working memory,,,,,,,,,,,,dmedicine
Neuropsychologia,Accidental action; Embodied cognition; FMRI; Intentional action; Intentionality bias; Sentence comprehension,,,,,,,,,,,,dmedicine
Physiology and Behavior,Beetroot; Cerebral blood flow; Cognition; Near-Infrared Spectroscopy; Nitrate (NO<inf>3</inf>-); Nitric oxide; Nitrite (NO<inf>2</inf>-),,,,,,,,,,,,dmedicine
Brain and Cognition,Cognition; Fluid intelligence; Frontal lobes; Hayling; Schizophrenia; Stroop; Word fluency,,,,,,,,,,,,dengineering
NeuroImage,Eye movements; Fixation duration; FMRI; Reading,,,,,,,,,,,,dengineering
Appetite,Adolescence; Fitness; Obesity; Orbitofrontal cortex; VO<inf>2</inf> max,,,,,,,,,,,,dengineering
Behavioural Processes,Boundaries; Fish cognition; Geometry; Landmarks; Reorientation; Spatial navigation,,,,,,,,,,,,dsocial science
Epilepsy and Behavior,Caregiver issues; Depression; Elderly; Epilepsy; Learning and memory,,,,,,,,,,,,dsocial science
Brain Structure and Function,Action simulation; Body expressions; Embodied cognition; Emotion; Motor cortex; Motor evoked potentials; Temporal dynamics; Transcranial magnetic stimulation,,,,,,,,,,,,d-lifescience
ZDM - Mathematics Education,Approximate Number System; Dot comparison; Inhibition; Numerical cognition; Visual cues,,,,,,,,,,,,dmedicine
Journal of Psychopharmacology,amphetamine; dizocilpine; free brain concentration; Morris water maze; novel object recognition test; PWZ-029; social novelty discrimination procedure,,,,,,,,,,,,dmedicine
Phenomenology and the Cognitive Sciences,Emotional ontogenesis; Extended mind; Externalism,,,,,,,,,,,,dmedicine
BMC Neuroscience,Auditory cognition; Event-related potentials; Music; Musical ability; Visual cognition,,,,,,,,,,,,dmedicine
Neuroscience Letters,Dynamic field theory; Movement preparation; Reaching; Reaction time,,,,,,,,,,,,dengineering
Pediatric Radiology,Applications; Auditory function; Cognitive function; Functional magnetic resonance imaging (fMRI); Language function; Motor function; Pediatrics; Sedation; Visual function,,,,,,,,,,,,dengineering
" (2014) ADHD-200 sample: normal controls. Accessed 01 Sept 2014""",,,,,,,,,,,,,dengineering
Frontiers in Systems Neuroscience,Dynamic coding; EEG; Hidden state; Multivariate pattern analysis; Visual working memory,,,,,,,,,,,,dsocial science
Frontiers in Systems Neuroscience,Bed rest; Cognition; Exercise; Longitudinal; Microgravity; Sensorimotor functioning; Spaceflight analog,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,N1; NSW; P1; P300; PSW; Task-irrelevant emotional distraction; VSTM maintenance,,,,,,,,,,,,d-lifescience
Behavioural Processes,Fixations identification; Free-viewing; Habituation; Object-picture perception; Visual exploration,,,,,,,,,,,,dmedicine
Acta Psychologica,Modeling; Repetition priming; TVA; Visual attention; Visual cognition,,,,,,,,,,,,dmedicine
Cognition,Approximate number system; Magnitude comparison; Number sense; Numerical cognition; Psychophysics,,,,,,,,,,,,dmedicine
Cognitive Processing,Absolute modularity; Cardinal directions; Language-to-cognition correlation; Spatial Frames of Reference; Traditional Negev Arabic,,,,,,,,,,,,dmedicine
Cognitive Processing,Enactive perception; Fictive motion; Language; Space; Visual scanning,,,,,,,,,,,,dengineering
Cognitive Processing,Cancellation task; Evolutionary robotics; Neural networks; Neurorobots; Simulation,,,,,,,,,,,,dengineering
Consciousness and Cognition,,,,,,,,,,,,,dengineering
NeuroImage,Artifact rejection; Entrainment; Magnetoencephalography; MEG; tACS; Transcranial alternating current stimulation,,,,,,,,,,,,dsocial science
Cognitive Processing,Body sway; Depth perception; Eye movements; Mental imagery; Pictorial space,,,,,,,,,,,,dsocial science
Cortex,Chicago Electrical NeuroImaging Analytics (CENA); Evolutionary model of loneliness; High density EEG/ERP; Loneliness; Social Stroop; Social threat,,,,,,,,,,,,d-lifescience
Cognition,Embodied cognition; Individual differences; Language comprehension; Perspective taking; Spatial cognition,,,,,,,,,,,,dmedicine
Cognitive Processing,Agency; eLORETA; ERPs; Social perception,,,,,,,,,,,,dmedicine
NeuroImage,FALFF; FMRI; Resting state; Short-term memory; Working memory,,,,,,,,,,,,dmedicine
Behavioural Brain Research,Brain stimulation; Intelligence; IQ; Perceptual reasoning; TDCS; WAIS-IV,,,,,,,,,,,,dmedicine
Cognitive Processing,Cognitive rhetoric; Image schema; Onomatopoeia; Phonology,,,,,,,,,,,,dengineering
Astronomy and Computing,Analytical-techniques; Evolution-methods; Galaxies; Image processing; Structure-galaxies,,,,,,,,,,,,dengineering
Journal of Autism and Developmental Disorders,Community intervention; Friendship training; High-functioning autism; Social skills; Theory of mind; Visual supports,,,,,,,,,,,,dengineering
Cognitive Processing,Eye fixations; Eye movements; Eye-tracking; Scanpath; Visuospatial memory,,,,,,,,,,,,dsocial science
Biological Psychology,Attentional orientation; Childhood fitness; Event-related brain potentials (ERPs); P3a; Task-irrelevant information,,,,,,,,,,,,dsocial science
