word,dsocial science,dengineering,dmedicine,d-lifescience
,0.192844677138,0.306864456079,0.396451425247,0.103839441536
Cognition,0.193598750976,0.302888368462,0.39968774395,0.0991412958626
Attention,0.173661360347,0.292329956585,0.421128798842,0.112879884226
Memory,0.191860465116,0.27519379845,0.414728682171,0.116279069767
Schizophrenia,0.210204081633,0.287755102041,0.412244897959,0.0897959183673
Social cognition,0.20351758794,0.276381909548,0.429648241206,0.0904522613065
Working memory,0.191977077364,0.355300859599,0.355300859599,0.0974212034384
Neuropsychology,0.155172413793,0.278735632184,0.416666666667,0.0775862068966
fMRI,0.191740412979,0.306784660767,0.412979351032,0.0884955752212
Aging,0.222950819672,0.27868852459,0.396721311475,0.101639344262
Alzheimer's disease,0.230215827338,0.255395683453,0.424460431655,0.089928057554
Emotion,0.186813186813,0.29304029304,0.432234432234,0.0879120879121
FMRI,0.205882352941,0.27731092437,0.403361344538,0.113445378151
Perception,0.122881355932,0.237288135593,0.279661016949,0.0889830508475
Executive function,0.206730769231,0.293269230769,0.418269230769,0.0817307692308
Dementia,0.184466019417,0.257281553398,0.446601941748,0.0922330097087
Parkinson's disease,0.219387755102,0.290816326531,0.40306122449,0.0867346938776
cognition,0.230769230769,0.328205128205,0.358974358974,0.0820512820513
Depression,0.188481675393,0.340314136126,0.403141361257,0.0628272251309
Spatial cognition,0.229885057471,0.298850574713,0.373563218391,0.0977011494253
Cognitive function,0.166666666667,0.32183908046,0.402298850575,0.103448275862
Vision,0.201219512195,0.365853658537,0.353658536585,0.0731707317073
EEG,0.179012345679,0.320987654321,0.401234567901,0.0987654320988
Autism,0.2,0.264516129032,0.425806451613,0.109677419355
Children,0.258064516129,0.290322580645,0.4,0.0516129032258
Prefrontal cortex,0.209459459459,0.283783783784,0.398648648649,0.108108108108
Language,0.20979020979,0.20979020979,0.328671328671,0.132867132867
Event-related potentials,0.181818181818,0.356643356643,0.377622377622,0.0699300699301
Cognitive control,0.232394366197,0.30985915493,0.394366197183,0.056338028169
Cognitive impairment,0.264705882353,0.286764705882,0.330882352941,0.110294117647
Embodied cognition,0.174242424242,0.25,0.44696969697,0.128787878788
Learning,0.160305343511,0.251908396947,0.465648854962,0.12213740458
ERP,0.178294573643,0.193798449612,0.53488372093,0.093023255814
Hippocampus,0.1875,0.3125,0.3515625,0.1328125
Mild cognitive impairment,0.196850393701,0.354330708661,0.354330708661,0.0944881889764
Eye movements,0.188976377953,0.291338582677,0.409448818898,0.110236220472
Visual attention,0.24,0.368,0.328,0.064
Visual perception,0.225806451613,0.225806451613,0.411290322581,0.137096774194
Visual search,0.131578947368,0.298245614035,0.5,0.0701754385965
Development,0.2,0.309090909091,0.4,0.0727272727273
Visual cognition,0.238532110092,0.330275229358,0.357798165138,0.0733944954128
Reaction time,0.198113207547,0.301886792453,0.396226415094,0.103773584906
Multiple sclerosis,0.153846153846,0.298076923077,0.432692307692,0.115384615385
Theory of mind,0.203883495146,0.300970873786,0.388349514563,0.106796116505
Executive functions,0.257425742574,0.257425742574,0.425742574257,0.0594059405941
Anxiety,0.19,0.29,0.42,0.1
Functional magnetic resonance imaging,0.212121212121,0.363636363636,0.343434343434,0.0808080808081
Stroke,0.103092783505,0.319587628866,0.453608247423,0.123711340206
Reading,0.223404255319,0.244680851064,0.414893617021,0.117021276596
Rehabilitation,0.139784946237,0.333333333333,0.430107526882,0.0967741935484
Elderly,0.266666666667,0.211111111111,0.444444444444,0.0666666666667
Amygdala,0.25,0.306818181818,0.363636363636,0.0795454545455
P300,0.204545454545,0.25,0.386363636364,0.159090909091
attention,0.176470588235,0.294117647059,0.411764705882,0.117647058824
Numerical cognition,0.164705882353,0.270588235294,0.447058823529,0.117647058824
Cognitive development,0.253012048193,0.349397590361,0.289156626506,0.10843373494
