word,dsocial science,dengineering,dmedicine,d-lifescience
,663,1055,1363,357
Cognition,248,388,512,127
Attention,120,202,291,78
Memory,99,142,214,60
Schizophrenia,103,141,202,44
Social cognition,81,110,171,36
Working memory,67,124,124,34
Neuropsychology,54,97,145,27
fMRI,65,104,140,30
Aging,68,85,121,31
Alzheimer's disease,64,71,118,25
Emotion,51,80,118,24
FMRI,49,66,96,27
Perception,29,56,66,21
Executive function,43,61,87,17
Dementia,38,53,92,19
Parkinson's disease,43,57,79,17
cognition,45,64,70,16
Depression,36,65,77,12
Spatial cognition,40,52,65,17
Cognitive function,29,56,70,18
Vision,33,60,58,12
EEG,29,52,65,16
Autism,31,41,66,17
Children,40,45,62,8
Prefrontal cortex,31,42,59,16
Language,30,30,47,19
Event-related potentials,26,51,54,10
Cognitive control,33,44,56,8
Cognitive impairment,36,39,45,15
Embodied cognition,23,33,59,17
Learning,21,33,61,16
ERP,23,25,69,12
Hippocampus,24,40,45,17
Mild cognitive impairment,25,45,45,12
Eye movements,24,37,52,14
Visual attention,30,46,41,8
Visual perception,28,28,51,17
Visual search,15,34,57,8
Development,22,34,44,8
Visual cognition,26,36,39,8
Reaction time,21,32,42,11
Multiple sclerosis,16,31,45,12
Theory of mind,21,31,40,11
Executive functions,26,26,43,6
Anxiety,19,29,42,10
Functional magnetic resonance imaging,21,36,34,8
Stroke,10,31,44,12
Reading,21,23,39,11
Rehabilitation,13,31,40,9
Elderly,24,19,40,6
Amygdala,22,27,32,7
P300,18,22,34,14
attention,15,25,35,10
Numerical cognition,14,23,38,10
Cognitive development,21,29,24,9
Neuropsychological tests,16,22,36,9
Selective attention,15,24,36,5
MRI,22,25,27,6
Human,18,26,28,6
Quality of life,14,14,38,11
Face processing,12,24,34,7
Inhibition,14,25,28,10
Neuroimaging,18,23,32,4
memory,14,16,38,7
Functional connectivity,15,20,28,12
Cognitive,20,19,28,7
Episodic memory,19,23,26,6
Epilepsy,15,19,27,11
Object recognition,9,32,24,7
ERPs,10,18,31,8
Psychosis,12,14,33,9
Neurocognition,12,17,32,7
Cognitive performance,13,19,27,8
